1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.049875	0.000000	69.566101	0.000931	872.1
1	-1.043971	0.000000	69.566101	0.002489	3.3
2	-1.043994	0.000000	69.566101	0.001228	3.1
3	-1.043975	0.000000	69.566101	0.001045	3.0
4	-1.041900	0.693425	67.342437	0.001250	3.0
5	-1.048262	1.569369	64.728798	0.002238	3.1
6	-1.043149	0.623287	67.560871	0.001478	3.2
7	-1.058064	1.074080	66.181155	0.001251	3.0
8	-1.048475	0.127999	69.144651	0.000597	2.9
9	-1.047694	0.000000	69.566101	0.000810	2.9
10	-1.052058	0.000000	69.566101	0.000919	3.0
11	-1.042639	0.000000	69.566101	0.001081	3.0
12	-1.052644	0.000000	69.566101	0.002133	2.9
13	-1.046813	0.000000	69.566101	0.000609	2.9
14	-1.048069	0.000000	69.566101	0.001975	2.8
15	-1.050117	0.999998	66.404012	0.001135	2.9
16	-1.051171	0.053916	69.387951	0.000427	2.9
17	-1.044620	1.022888	66.334993	0.001941	2.9
18	-1.042661	1.741344	64.239304	0.001319	2.9
19	-1.043172	2.741344	61.533505	0.000960	2.8
20	-1.050909	1.906280	63.776752	0.001398	2.9
21	-1.058217	1.018425	66.348437	0.001548	3.0
22	-1.046305	0.072420	69.327023	0.000875	3.0
23	-1.044485	0.727902	67.235582	0.001522	3.1
24	-1.042274	0.000000	69.566101	0.000353	2.9
25	-1.050746	0.451206	68.102843	0.000838	2.9
26	-1.042171	0.311460	68.549415	0.000932	3.0
27	-1.054951	0.000000	69.566101	0.001660	3.2
28	-1.046650	0.000000	69.566101	0.001190	3.0
29	-1.044421	0.000000	69.566101	0.000951	2.8
30	-1.047626	0.263240	68.704868	0.000982	2.8
31	-1.044567	1.116752	66.053467	0.001143	2.9
32	-1.042059	0.174646	68.992328	0.000723	2.8
33	-1.045177	0.000000	69.566101	0.000840	2.9
34	-1.032093	0.000000	69.566101	0.000938	2.7
35	-1.052660	0.000000	69.566101	0.001594	2.6
36	-1.046819	0.000000	69.566101	0.000961	2.6
37	-1.055399	0.000000	69.566101	0.000845	2.7
38	-1.054324	0.991321	66.430213	0.001192	2.7
39	-1.059312	0.045560	69.415501	0.000914	2.8
40	-1.045418	0.958729	66.528812	0.001689	2.7
41	-1.051806	0.012884	69.523446	0.001186	2.6
42	-1.053457	0.000000	69.566101	0.001072	2.9
43	-1.044389	0.000000	69.566101	0.000452	2.7
44	-1.055972	0.000000	69.566101	0.001591	2.6
45	-1.039591	0.000000	69.566101	0.002090	2.7
46	-1.046104	0.999998	66.404011	0.000632	2.7
47	-1.050764	0.171685	69.001978	0.001455	2.7
48	-1.049477	0.000000	69.566101	0.001099	2.7
49	-1.049560	0.939334	66.587625	0.001125	2.6
50	-1.041826	1.935391	63.695801	0.000624	2.6
51	-1.054908	2.929395	61.049940	0.001211	2.6
52	-1.051815	3.928574	58.602956	0.000888	2.7
53	-1.042280	2.982500	60.914756	0.001247	2.6
54	-1.038588	2.036431	63.416427	0.001261	2.7
55	-1.055728	1.142252	65.977397	0.000629	2.6
56	-1.035433	0.230676	68.810251	0.000617	2.6
57	-1.035815	0.506557	67.927568	0.001586	2.7
58	-1.051079	0.000000	69.566101	0.002223	2.7
59	-1.051080	1.000000	66.404006	0.000617	2.7
60	-1.045260	1.197114	65.814328	0.001319	2.9
61	-1.048240	1.973459	63.590255	0.001354	2.7
62	-1.044707	2.973320	60.938082	0.001251	2.7
63	-1.056900	3.063068	60.710801	0.001022	2.7
64	-1.043312	2.116986	63.195440	0.000763	3.1
65	-1.051879	1.552054	64.778496	0.001489	3.0
66	-1.049907	0.622521	67.563265	0.000837	2.8
67	-1.047804	0.000000	69.566101	0.001158	2.8
68	-1.042273	0.000000	69.566101	0.000751	2.7
69	-1.050104	0.000000	69.566101	0.000356	2.8
70	-1.052394	0.026411	69.478719	0.000856	2.9
71	-1.052170	0.000000	69.566101	0.000793	2.9
72	-1.049726	0.957592	66.532256	0.001958	2.9
73	-1.044464	1.957579	63.634242	0.001705	2.9
74	-1.043093	1.011557	66.369140	0.000449	2.8
75	-1.040938	0.513442	67.905828	0.001357	3.0
76	-1.061612	0.081047	69.298652	0.001361	3.0
77	-1.059853	1.081047	66.160275	0.000969	3.2
78	-1.052582	1.973022	63.591464	0.000705	3.3
79	-1.049516	1.789076	64.104754	0.001184	3.4
80	-1.048664	0.854862	66.844995	0.001057	3.4
81	-1.041833	1.278924	65.572652	0.001127	3.4
82	-1.048348	2.218660	62.918710	0.001300	3.2
83	-1.043930	3.077987	60.673184	0.001596	3.3
84	-1.050226	3.250527	60.241501	0.001078	3.6
85	-1.051603	2.450627	62.296335	0.001049	4.0
86	-1.040861	3.449677	59.750814	0.001240	3.4
87	-1.035135	2.503626	62.155861	0.001613	3.2
88	-1.058801	2.025872	63.445507	0.000901	3.0
89	-1.058924	3.020442	60.818536	0.002265	2.9
90	-1.041093	4.020442	58.387782	0.000838	3.3
91	-1.045267	3.074429	60.682150	0.001231	3.1
92	-1.039196	4.074125	58.262775	0.001002	3.1
93	-1.041824	4.730249	56.777068	0.000950	3.3
94	-1.040398	3.904431	58.659768	0.001957	3.0
95	-1.042528	2.961364	60.968488	0.001743	3.6
96	-1.046047	2.976731	60.929413	0.001057	3.4
97	-1.046651	2.030651	63.432341	0.000809	3.1
98	-1.047451	1.084703	66.149322	0.001269	3.4
99	-1.049511	0.143147	69.095113	0.001405	3.0
100	-1.057922	0.000000	69.566101	0.001734	3.2
101	-1.043839	0.000000	69.566101	0.002531	3.1
102	-1.048699	0.000000	69.566101	0.000923	3.0
103	-1.050366	0.999934	66.404206	0.001194	2.9
104	-1.048027	0.810425	66.981184	0.001591	2.9
105	-1.050668	0.270245	68.682242	0.002294	3.3
106	-1.039522	0.300246	68.585504	0.001026	3.2
107	-1.045209	0.000000	69.566101	0.000912	3.0
108	-1.053787	0.999648	66.405067	0.003300	2.9
109	-1.049135	0.053567	69.389103	0.000896	2.9
110	-1.053615	1.007298	66.381984	0.000731	2.8
111	-1.042392	0.065738	69.349012	0.001812	2.9
112	-1.045665	0.000000	69.566101	0.000846	3.0
113	-1.049243	1.000000	66.404006	0.000868	2.9
114	-1.046723	0.057311	69.376765	0.001522	2.9
115	-1.039303	0.000000	69.566101	0.001666	3.0
116	-1.052113	0.000000	69.566101	0.001401	2.9
117	-1.042406	1.000000	66.404006	0.000886	2.8
118	-1.050219	1.515326	64.884166	0.002257	2.8
119	-1.034372	0.615647	67.584750	0.000397	2.7
120	-1.064469	1.615188	64.597656	0.001740	2.7
121	-1.040634	1.911877	63.761171	0.001921	2.8
122	-1.045601	2.911877	61.094665	0.000543	2.7
123	-1.051554	3.911676	58.642708	0.001250	2.7
124	-1.053695	3.328252	60.049038	0.001458	2.7
125	-1.045731	4.328252	57.678206	0.001169	2.6
126	-1.043243	5.328251	55.487474	0.001178	2.7
127	-1.050834	4.811209	56.598981	0.002944	2.7
128	-1.057348	3.865127	58.752489	0.001894	2.6
129	-1.061301	4.865127	56.480995	0.001061	2.7
130	-1.059474	4.947204	56.302334	0.001840	2.7
131	-1.043814	5.947164	54.213056	0.001975	2.7
132	-1.054305	5.001083	56.185665	0.000910	2.8
133	-1.036992	6.001078	54.104807	0.000551	2.8
134	-1.045193	5.442050	55.248672	0.000794	2.7
135	-1.053211	6.437358	53.244490	0.000751	2.8
136	-1.044727	6.970912	52.228835	0.000952	2.8
137	-1.048093	7.732675	50.844139	0.000812	2.7
138	-1.047920	8.478292	49.558099	0.001705	2.8
139	-1.039678	7.532310	51.201186	0.001432	3.1
140	-1.043490	6.604815	52.921496	0.001434	3.2
141	-1.047084	5.658757	54.799560	0.001126	3.3
142	-1.038978	4.712675	56.815874	0.001650	3.4
143	-1.048115	5.712636	54.689028	0.001767	3.1
144	-1.053273	6.712636	52.715596	0.002928	3.1
145	-1.040834	7.712636	50.879624	0.002045	2.9
146	-1.038236	8.712636	49.167234	0.000375	3.1
